songid,name,artist,year,genre,lyrics
42,Save Your Tears,The Weeknd,2020,pop,ooh nana yeah i saw you dancing in a crowded room uh you look so happy when im not with you but then you saw me caught you by surprise a single teardrop falling from your eye i dont know why i run away i make you cry when i run away you couldve asked me why i broke your heart you couldve told me that you fell apart but you walked past me like i wasnt there and just pretended like you didnt care i dont know why i run away i make you cry when i run away take me back cause i wanna stay save your tears for another save your tears for another day save your tears for another day so i made you think that i would always stay i said some things that i should never say yeah i broke your heart like someone did to mine and now you wont love me for a second time i dont know why i run away oh girl said i make you cry when i run away girl take me back cause i wanna stay save your tears for another i realize that im much too late and you deserve someone better save your tears for another day oh yeah save your tears for another day yeah i dont know why i run away ill make you cry when i run away save your tears for another day ooh girl i said ah save your tears for another day ah save your tears for another day ah save your tears for another day ah
43,Watermelon Sugar,Harry Styles,2019,pop,tastes like strawberries on a summer evenin and it sounds just like a song i want more berries and that summer feelin its so wonderful and warm breathe me in breathe me out i dont know if i could ever go without im just thinking out loud i dont know if i could ever go without watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar strawberries on a summer evenin baby youre the end of june i want your belly and that summer feelin getting washed away in you breathe me in breathe me out i dont know if i could ever go without watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high i just wanna taste it i just wanna taste it watermelon sugar high tastes like strawberries on a summer evenin and it sounds just like a song i want your belly and that summer feelin i dont know if i could ever go without watermelon sugar high watermelon sugar high watermelon sugar sugar high watermelon sugar high sugar watermelon sugar high watermelon sugar high watermelon sugar high watermelon sugar high i just wanna taste it i just wanna taste it watermelon sugar high i just wanna taste it i just wanna taste it watermelon sugar high watermelon sugar
44,Adore You,Harry Styles,2019,pop,walk in your rainbow paradise paradise strawberry lipstick state of mind state of mind i get so lost inside your eyes would you believe it you dont have to say you love me you dont have to say nothing you dont have to say youre mine honey ah id walk through fire for you just let me adore you oh honey ah id walk through fire for you just let me adore you like its the only thing ill ever do like its the only thing ill ever do youre wonder under summer skies summer skies brown skin and lemon over ice would you believe it you dont have to say you love me i just wanna tell you somethin lately youve been on my mind honey ah id walk through fire for you just let me adore you oh honey ah id walk through fire for you just let me adore you like its the only thing ill ever do like its the only thing ill ever do id walk through fire for you just let me adore you oh honey ah id walk through fire for you just let me adore you like its the only thing ill ever do ah id walk through fire for you just let me adore you oh honey ah oh honey id walk through fire for you just let me adore you oh honey oh just let me adore you like its the only thing ill ever do
45,Sucker,Jonas Brothers,2019,pop,we go together better than birds of a feather you and me we change the weather yeah im feeling heat in december when youre round me ive been dancing on top of cars and stumbling out of bars i follow you through the dark cant get enough youre the medicine and the pain the tattoo inside my brain and baby you know its obvious im a sucker for you say the word and ill go anywhere blindly im a sucker for you yeah any road you take you know that youll find me im a sucker for all the subliminal things no one knows about you about you about you about you and youre making the typical me break my typical rules its true im a sucker for you yeah dont complicate it yeah cause i know you and you know everything about me i cant remember all of the nights i dont remember when youre round me oh yeah yeah ive been dancing on top of cars and stumbling out of bars i follow you through the dark cant get enough youre the medicine and the pain the tattoo inside my brain and baby you know its obvious im a sucker for you say the word and ill go anywhere blindly im a sucker for you yeah any road you take you know that youll find me im a sucker for all the subliminal things no one knows about you about you about you about you and youre making the typical me break my typical rules its true im a sucker for you yeah ive been dancing on top of cars and stumbling out of bars i follow you through the dark cant get enough youre the medicine and the pain the tattoo inside my brain and baby you know its obvious im a sucker for you yeah say the word and ill go anywhere blindly im a sucker for you yeah any road you take you know that youll find me im a sucker for all the subliminal things no one knows about you about you about you about you and youre making the typical me break my typical rules its true im a sucker for you im a sucker for you
46,Memories,Maroon 5,2019,pop,heres to the ones that we got cheers to the wish you were here but youre not cause the drinks bring back all the memories of everything weve been through toast to the ones here today toast to the ones that we lost on the way cause the drinks bring back all the memories and the memories bring back memories bring back you theres a time that i remember when i did not know no pain when i believed in forever and everything would stay the same now my heart feel like december when somebody say your name cause i cant reach out to call you but i know i will one day yeah everybody hurts sometimes everybody hurts someday ayy ayy but everything gon be alright go and raise a glass and say ayy heres to the ones that we got cheers to the wish you were here but youre not cause the drinks bring back all the memories of everything weve been through toast to the ones here today toast to the ones that we lost on the way cause the drinks bring back all the memories and the memories bring back memories bring back you doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo memories bring back memories bring back you theres a time that i remember when i never felt so lost when i felt all of the hatred was too powerful to stop ooh yeah now my heart feel like an ember and its lighting up the dark ill carry these torches for ya that you know ill never drop yeah everybody hurts sometimes everybody hurts someday ayy ayy but everything gon be alright go and raise a glass and say ayy heres to the ones that we got oh cheers to the wish you were here but youre not cause the drinks bring back all the memories of everything weve been through no no toast to the ones here today ayy toast to the ones that we lost on the way cause the drinks bring back all the memories ayy and the memories bring back memories bring back you doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo memories bring back memories bring back you doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo doo ooh yeah memories bring back memories bring back you yeah yeah yeah yeah yeah yeah yeah yeah doh doh memories bring back memories bring back you
47,Dance Monkey,Tones and I,2019,pop,they say oh my god i see the way you shine take your hands my dear and place them both in mine you know you stopped me dead while i was passing by and now i beg to see you dance just one more time ooh i see you see you see you every time and oh my i i like your style you you make me make me make me wanna cry and now i beg to see you dance just one more time so they say dance for me dance for me dance for me ohohoh ive never seen anybody do the things you do before they say move for me move for me move for me ayyayyayy and when youre done ill make you do it all again i said oh my god i see you walking by take my hands my dear and look me in my eyes just like a monkey ive been dancin my whole life but you just beg to see me dance just one more time ooh i see you see you see you every time and oh my i i like your style you you make me make me make me wanna cry and now i beg to see you dance just one more time so they say dance for me dance for me dance for me ohohoh ive never seen anybody do the things you do before they say move for me move for me move for me ayyayyayy and when youre done ill make you do it all again they say dance for me dance for me dance for me ohohoh ohoh ohoh ive never seen anybody do the things you do before they say
48,Rain On Me,Lady Gaga Ariana Grande,2020,pop,i didnt ask for a free ride i only asked you to show me a real good time i never asked for the rainfall at least i showed up you showed me nothing at all its coming down on me water like misery its coming down on me im ready rain on me id rather be dry but at least im alive rain on me rain rain rain on me rain rain id rather be dry but at least im alive rain on me rain rain rain on me rain on me mmh oh yeah baby rain on me livin in a world where no ones innocent oh but at least we try mmh gotta live my truth not keep it bottled in so i dont lose my mind baby yeah i can feel it on my skin its coming down on me teardrops on my face water like misery let it wash away my sins its coming down on me let it wash away yeah id rather be dry but at least im alive rain on me rain rain rain on me rain rain id rather be dry but at least im alive rain on me rain rain rain rain on on me rain on me rain on me oh yeah yeah rain on me ooh yeah rain on me rain on me ooh hands up to the sky ill be your galaxy im about to fly rain on me tsunami hands up to the sky ill be your galaxy im about to fly rain on me rain on me id rather be dry but at least im alive rain on me rain on me rain rain rain on me rain rain rain on me id rather be dry but at least im alive at least im alive rain on me rain rain rain on me rain on me rain on me i hear the thunder coming down wont you rain on me eh eh yeah rain on woo i hear the thunder coming down wont you rain on me eh eh yeah rain on me
49,Physical,Dua Lipa,2020,pop,common love isnt for us we created something phenomenal dont you agree dont you agree you got me feeling diamondrich nothing on this planet compares to it dont you agree dont you agree who needs to go to sleep when i got you next to me all night ill riot with you i know you got my back and you know i got you so come on come on come on come on come on come on lets get physical lights out follow the noise baby keep on dancing like you aint got a choice so come on come on come on come on come on lets get physical adrenaline keeps on rushing in love the simulation were dreaming in dont you agree dont you agree i dont wanna live another life cause this ones pretty nice living it up who needs to go to sleep when i got you next to me all night ill riot with you i know you got my back and you know i got you so come on come on come on come on come on come on lets get physical lights out follow the noise baby keep on dancing like you aint got a choice so come on come on come on come on come on lets get physical hold on just a little tighter come on hold on tell me if youre ready come on come on come on baby keep on dancing lets get physical hold on just a little tighter come on hold on tell me if youre ready come on come on come on baby keep on dancing lets get physical all night ill riot with you i know you got my back and you know i got you so come on come on come on lets get physical lights out follow the noise baby keep on dancing like you aint got a choice so come on come on come on come on come on lets get physical physical physical lets get physical physical physical physical physical physical lets get physical physical physical come on phyphyphyphysical
50,Cardigan,Taylor Swift,2020,pop,vintage tee brand new phone high heels on cobblestones when you are young they assume you know nothing sequin smile black lipstick sensual politics when you are young they assume you know nothing but i knew you dancin in your levis drunk under a streetlight i i knew you hand under my sweatshirt baby kiss it better i and when i felt like i was an old cardigan under someones bed you put me on and said i was your favorite a friend to all is a friend to none chase two girls lose the one when you are young they assume you know nothin but i knew you playing hideandseek and giving me your weekends i i knew you your heartbeat on the high line once in 20 lifetimes i and when i felt like i was an old cardigan under someones bed you put me on and said i was your favorite to kiss in cars and downtown bars was all we needed you drew stars around my scars but now im bleedin cause i knew you steppin on the last train marked me like a bloodstain i i knew you tried to change the ending peter losing wendy i i knew you leavin like a father running like water i and when you are young they assume you know nothing but i knew youd linger like a tattoo kiss i knew youd haunt all of my whatifs the smell of smoke would hang around this long cause i knew everything when i was young i knew id curse you for the longest time chasin shadows in the grocery line i knew youd miss me once the thrill expired and youd be standin in my front porch light and i knew youd come back to me youd come back to me and youd come back to me and youd come back and when i felt like i was an old cardigan under someones bed you put me on and said i was your favorite
51,Beautiful People,Ed Sheeran,2019,pop,we are we are we are l.a. on a saturday night in the summer sundown and they all come out lamborginis and their rented hummers the partys on so theyre headin downtown everybodys lookin for a come up and they wanna know what youre about me in the middle with the one im lovin were just tryna figure everything out we dont fit in well cause we are just ourselves i could use some help gettin out of this conversation yeah you look stunning dear so dont ask that question here this is my only fear that we become hey beautiful people drop top designer clothes front row at fashion shows what dyou do and who dyou know inside the world of beautiful people champagne and rolledup notes prenups and broken homes surrounded but still alone lets leave the party thats not who we are we are we are we are we are not beautiful yeah thats not who we are we are we are we are we are not beautiful beautiful l.a. mmm drove for hours last night and we made it nowhere nowhere nowhere i see stars in your eyes when were halfway there all night im not fazed by all them lights and flashin cameras cause with my arms around you theres no need to care we dont fit in well we are just ourselves i could use some help gettin out of this conversation yeah you look stunning dear ah so dont ask that question here this is my only fear that we become hey beautiful people drop top designer clothes front row at fashion shows what dyou do and who dyou know inside the world of beautiful people champagne and rolledup notes prenups and broken homes surrounded but still alone lets leave the party thats not who we are we are we are we are we are not beautiful yeah yeah thats not who we are we are not beautiful beautiful we are we are we are we are not beautiful
52,Chandelier,Sia,2014,pop,party girls dont get hurt cant feel anything when will i learn i push it down i push it down im the one for a good time call phones blowin up ringin my doorbell i feel the love feel the love one two three one two three drink one two three one two three drink one two three one two three drink throw em back til i lose count im gonna swing from the chandelier from the chandelier im gonna live like tomorrow doesnt exist like it doesnt exist im gonna fly like a bird through the night feel my tears as they dry im gonna swing from the chandelier from the chandelier but im holding on for dear life wont look down wont open my eyes keep my glass full until morning light cause im just holding on for tonight help me im holding on for dear life wont look down wont open my eyes keep my glass full until morning light cause im just holding on for tonight on for tonight sun is up im a mess gotta get out now gotta run from this here comes the shame here comes the shame ah one two three one two three drink one two three one two three drink one two three one two three drink throw em back til i lose count im gonna swing from the chandelier from the chandelier im gonna live like tomorrow doesnt exist like it doesnt exist im gonna fly like a bird through the night feel my tears as they dry im gonna swing from the chandelier from the chandelier but im holding on for dear life wont look down wont open my eyes keep my glass full until morning light cause im just holding on for tonight help me im holding on for dear life wont look down wont open my eyes keep my glass full until morning light cause im just holding on for tonight on for tonight on for tonight cause im just holding on for tonight oh im just holding on for tonight on for tonight on for tonight cause im just holding on for tonight cause im just holding on for tonight oh im just holding on for tonight on for tonight on for tonight
53,Havana,Camila Cabello ft. Young Thug,2017,pop,hey havana ooh nana ayy half of my heart is in havana ooh nana ayy ayy he took me back to east atlanta nanana ah oh but my heart is in havana ayy theres somethin bout his manners uhhuh havana oohnana uh he didnt walk up with that how you doin uh when he came in the room he said theres a lot of girls i can do with uh but i cant without you i knew him forever in a minute hey that summer night in june and papa says he got malo in him uh he got me feelin like... ooh oohoohoohoohoohoohooh ayy i knew it when i met him ayy i loved him when i left him got me feelin like ooh oohoohoohoohoohoohooh and then i had to tell him i had to go ohnanananana woo havana ooh nana ayy ayy half of my heart is in havana ooh nana ayy ayy he took me back to east atlanta nanana uh huh oh but my heart is in havana ayy my heart is in havana ayy havana oohnana jeffery just graduated fresh on campus mmm fresh out east atlanta with no manners damn fresh out east atlanta bump on her bumper like a traffic jam hey i was quick to pay that girl like uncle sam here you go ayy back it on me back it up shawty cravin on me get to eatin on me on me she waited on me then what shawty cakin on me got the bacon on me wait up this is history in the makin on me on me point blank close range that b if it cost a million thats me thats me i was gettin mula baby havana ooh nana ayy ayy half of my heart is in havana ooh nana oh ayy ayy he took me back uh huh to east atlanta nanana oh no oh but my heart is in havana ayy my heart is in havana ayy havana oohnana oohnana ohnanana ooh oohoohoohoohoohooh take me back back back like... oohnana ohnanana yeah babe take me back back back like... oohnana ohnanana yeah yeah take me back back back like... oohnana ohnanana yeah babe take me back back back hey hey ooh oohoohoohoohoohoohooh hey ooh oohoohoohoohoohoohooh hey take me back to my havana havana ooh nana hey half of my heart is in havana ooh nana oh yeah he took me back to east atlanta ayy ayy nanana oh but my heart is in havana my heart is in havana ayy havana oohnana uhhuh oh nanana oh na yeah oh nanana oh nanana no no no take me back oh nanana havana oohnana
54,Senorita,Shawn Mendes Camila Cabello,2019,pop,i love it when you call me señorita i wish i could pretend i didnt need ya but every touch is ooh lalala its true lalala ooh i should be running ooh you keep me coming for ya land in miami the air was hot from summer rain sweat dripping off me before i even knew her name lalala it felt like ooh lalala yeah no sapphire moonlight we danced for hours in the sand tequila sunrise her body fit right in my hands lalala it felt like ooh lalala yeah i love it when you call me señorita i wish i could pretend i didnt need ya but every touch is ooh lalala its true lalala ooh i should be running ooh you know i love it when you call me señorita i wish it wasnt so damn hard to leave ya but every touch is ooh lalala its true lalala ooh i should be running ooh you keep me coming for ya locked in the hotel theres just some things that never change you say were just friends but friends dont know the way you taste lalala cause you know its been a long time coming dont you let me fall oh ooh when your lips undress me hooked on your tongue ooh love your kiss is deadly dont stop i love it when you call me señorita i wish i could pretend i didnt need ya but every touch is ooh lalala its true lalala ooh i should be running ooh you know i love it when you call me señorita i wish it wasnt so damn hard to leave ya but every touch is ooh lalala its true lalala true lala ooh i should be running ooh you keep me coming for ya all along ive been coming for ya for ya and i hope it meant something to ya ooh call my name ill be coming for ya coming for ya coming for ya coming for ya for ya for ya oh she loves it when i call for ya ooh i should be running ooh you keep me coming for ya
55,Uptown Funk,Mark Ronson ft. Bruno Mars,2014,pop,intro doh dohdohdoh dohdohdoh dohdoh dohdohdoh dohdohdoh dohdoh dohdohdoh dohdohdoh dohdoh dohdohdoh dohdoh aw ow verse 1 this hit that ice cold michelle pfeiffer that white gold this one for them hood girls them good girls straight masterpieces stylin wilin livin it up in the city got chucks on with saint laurent gotta kiss myself im so pretty refrain im too hot hot damn doh uh call the police and the fireman dohdohdoh dohdohdoh dohdoh im too hot hot damn dohdohdoh dohdohdoh dohdoh make a dragon wanna retire man im too hot hot damn dohdohdoh dohdohdoh dohdoh say my name you know who i am im too hot hot damn dohdohdoh dohdoh doh doh and my band bout that money break it down prechorus girls hit your hallelujah woo girls hit your hallelujah woo girls hit your hallelujah woo cause uptown funk gon give it to you woo cause uptown funk gon give it to you cause uptown funk gon give it to you saturday night and we in the spot dont believe me just watch come on chorus doh dohdohdoh dohdohdoh dohdoh ya dohdohdoh dohdohdoh dohdoh dont believe me just watch uh dohdohdoh dohdohdoh dohdoh ya dohdohdoh dohdoh– dont believe me just watch uh dont believe me just watch uh dont believe me just watch dont believe me just watch hey hey hey oh verse 2 stop wait a minute fill my cup put some liquor in it take a sip sign the check julio get the stretch ride to harlem hollywood jackson mississippi if we show up we gon show out smoother than a fresh jar o skippy refrain im too hot hot damn doh call the police and the fireman dohdohdoh dohdohdoh dohdoh im too hot hot damn dohdohdoh dohdohdoh dohdoh make a dragon wanna retire man im too hot too hot hot damn hot damn dohdohdoh dohdohdoh dohdoh bitch say my name you know who i am im too hot hot damn dohdohdoh dohdoh doh doh uh and my band bout that money break it down prechorus girls hit your hallelujah woo girls hit your hallelujah woo girls hit your hallelujah woo cause uptown funk gon give it to you woo cause uptown funk gon give it to you cause uptown funk gon give it to you saturday night and we in the spot dont believe me just watch come on chorus doh dohdohdoh dohdohdoh dohdoh ya dohdohdoh dohdohdoh dohdoh dont believe me just watch uh dohdohdoh dohdohdoh dohdoh ya dohdohdoh dohdoh– dont believe me just watch uh dont believe me just watch uh dont believe me just watch dont believe me just watch hey hey hey oh
56,Shut Up and Dance,WALK THE MOON,2014,pop,oh dont you dare look back just keep your eyes on me. i said youre holding back. she said shut up and dance with me this woman is my destiny she said oohoohhoo shut up and dance with me. we were victims of the night the chemical physical kryptonite helpless to the bass and the fading light oh we were bound to get together bound to get together she took my arm i dont know how it happened we took the floor and she said oh dont you dare look back just keep your eyes on me. i said youre holding back. she said shut up and dance with me this woman is my destiny she said oohoohhoo shut up and dance with me. a backless dress and some beatup sneaks my discothèque juliet teenage dream i felt it in my chest as she looked at me i knew we were bound to be together bound to be together she took my arm i dont know how it happened we took the floor and she said oh dont you dare look back just keep your eyes on me. i said youre holding back. she said shut up and dance with me this woman is my destiny she said oohoohhoo shut up and dance with me. oh come on girl deep in her eyes i think i see the future i realize this is my last chance she took my arm i dont know how it happened we took the floor and she said oh dont you dare look back just keep your eyes on me. i said youre holding back. she said shut up and dance with me this woman is my destiny she said oohoohhoo shut up and dance dont you dare look back just keep your eyes on me. i said youre holding back. she said shut up and dance with me this woman is my destiny she said oohoohhoo shut up and dance with me. oohoohhoo shut up and dance with me oohoohhoo shut up and dance with me
57,Sugar,Maroon 5,2014,pop,im hurting baby im broken down i need your loving loving i need it now when im without you im something weak you got me begging begging im on my knees i dont wanna be needing your love i just wanna be deep in your love and its killing me when youre away ooh baby cause i really dont care where you are i just wanna be there where you are and i gotta get one little taste sugar yes please wont you come and put it down on me im right here cause i need little love and little sympathy yeah you show me good loving make it alright need a little sweetness in my life sugar yes please wont you come and put it down on me my broken pieces you pick them up dont leave me hanging hanging come give me some when im without ya im so insecure you are the one thing one thing im living for i dont wanna be needing your love i just wanna be deep in your love and its killing me when youre away ooh baby cause i really dont care where you are i just wanna be there where you are and i gotta get one little taste sugar yes please wont you come and put it down on me im right here cause i need little love and little sympathy yeah you show me good loving make it alright need a little sweetness in my life sugar yes please wont you come and put it down on me yeah i want that red velvet i want that sugar sweet dont let nobody touch it unless that somebodys me i gotta be a man there aint no other way cause girl youre hotter than the southern california bay i dont wanna play no games i dont gotta be afraid dont give all that shy shit no make up on thats my sugar yes please wont you come and put it down on me im right here cause i need little love and little sympathy yeah baby you show me good loving make it alright need a little sweetness in my life sugar yes please wont you come and put it down on me sugar yes please wont you come and put it down on me im right here cause i need little love and little sympathy yeah you show me good loving make it alright need a little sweetness in my life sugar yes please wont you come and put it down on me down on me down on me ooh
58,Rude,MAGIC!,2013,pop,saturday mornin jumped out of bed and put on my best suit got in my car and raced like a jet all the way to you knocked on your door with heart in my hand to ask you a question cause i know that youre an old fashioned man yeah yeah can i have your daughter for the rest of my life say yes say yes cause i need to know you say ill never get your blessin til the day i die tough luck my friend but the answer is no why you gotta be so rude dont you know im human too why you gotta be so rude im gonna marry her anyway marry that girl marry her anyway marry that girl yeah no matter what you say marry that girl and well be a family why you gotta be so rude i hate to do this you leave no choice cant live without her love me or hate me we will be both standin at that alter or we will run away to another galaxy you know you know shes in love with me she will go anywhere i go can i have your daughter for the rest of my life say yes say yes cause i need to know you say ill never get your blessin tll the day i die tough luck my friend cause the answers still no why you gotta be so rude dont you know im human too why you gotta be so rude im gonna marry her anyway marry that girl marry her anyway marry that girl no matter what you say marry that girl and well be a family why you gotta be so rude rude can i have your daughter for the rest of my life say yes say yes cause i need to know you say ill never get your blessin til the day i die tough luck my friend but no still means no why you gotta be so rude dont you know im human too why you gotta be so rude im gonna marry her anyway marry that girl marry her anyway marry that girl no matter what you say marry that girl and well be a family why you gotta be so rude oh yeah oh why you gotta be so rude why yeah why you gotta be so rude
59,Cant Stop the Feeling!,Justin Timberlake,2016,pop,i got this feelin inside my bones it goes electric wavy when i turn it on all through my city all through my home were flyin up no ceilin when we in our zone i got that sunshine in my pocket got that good soul in my feet i feel that hot blood in my body when it drops ooh i cant take my eyes up off it movin so phenomenally room on lock the way we rock it so dont stop and under the lights when everything goes nowhere to hide when im gettin you close when we move well you already know so just imagine just imagine just imagine nothin i can see but you when you dance dance dance feel a good good creepin up on you so just dance dance dance come on all those things i shouldnt do but you dance dance dance and aint nobody leavin soon so keep dancin i cant stop the feelin so just dance dance dance i cant stop the feelin so just dance dance dance come on ooh its something magical its in the air its in my blood its rushin on rushin on i dont need no reason dont need control dont need control i fly so high no ceiling when im in my zone cause i got that sunshine in my pocket got that good soul in my feet i feel that hot blood in my body when it drops ooh i cant take my eyes up off it moving so phenomenally room on lock the way we rock it so dont stop under the lights when everything goes nowhere to hide when im gettin you close when we move well you already know so just imagine just imagine just imagine nothing i can see but you when you dance dance dance feel a good good creepin up on you so just dance dance dance come on all those things i shouldnt do but you dance dance dance and aint nobody leavin soon so keep dancin i cant stop the feelin so just dance dance dance i cant stop the feelin so just dance dance dance i cant stop the feelin so just dance dance dance i cant stop the feelin yeah so keep dancin come on oh yeah oh i cant stop the i cant stop the i cant stop the i cant stop the i cant stop the feelin nothin i can see but you when you dance dance dance i cant stop the feelin feel a good good creepin up on you so just dance dance dance come on i cant stop the feelin all those things i shouldnt do but you dance dance dance dance dance dance i cant stop the feelin and aint nobody leavin soon so keep dancin i cant stop the feelin everybody sing got this feeling in my body i cant stop the feelin got this feeling in my body i cant stop the feelin wanna see you move your body i cant stop the feelin got this feelin in my body break it down got this feelin in my body cant stop the feelin got this feelin in my body come on ooh
60,Feel It Still,Portugal. The Man,2017,pop,cant keep my hands to myself think ill dust em off put em back up on the shelf in case my little baby girl is in need am i coming out of left field ooh woo im a rebel just for kicks now i been feeling it since 1966 now might be over now but i feel it still ooh woo im a rebel just for kicks now let me kick it like its 1986 now might be over now but i feel it still got another mouth to feed leave her with a baby sitter mama call the grave digger gone with the fallen leaves am i coming out of left field ooh woo im a rebel just for kicks now i been feeling it since 1966 now mightve had your fill but you feel it still ooh woo im a rebel just for kicks now let me kick it like its 1986 now might be over now but i feel it still we could fight a war for peace ooh woo im a rebel just for kicks now give in to that easy living goodbye to my hopes and dreams stop flipping for my enemies we could wait until the walls come down ooh woo im a rebel just for kicks now its time to give a little to the kids in the middle but oh til it falls wont bother me is it coming is it coming is it coming is it coming is it coming is it coming back ooh woo im a rebel just for kicks yeah your love is an abyss for my heart to eclipse now might be over now but i feel it still ooh woo im a rebel just for kicks now ive been feeling it since 1966 now might be over now but i feel it still ooh woo im a rebel just for kicks now let me kick it like its 1986 now might be over now but i feel it still mightve had your fill but you feel it still
61,Waterloo,ABBA,1974,pop,my my at waterloo napoleon did surrender oh yeah and i have met my destiny in quite a similar way the history book on the shelf is always repeating itself waterloo i was defeated you won the war waterloo promise to love you forevermore waterloo couldnt escape if i wanted to waterloo knowing my fate is to be with you wawawawawaterloo finally facing my waterloo my my i tried to hold you back but you were stronger oh yeah and now it seems my only chance is giving up the fight and how could i ever refuse i feel like i win when i lose waterloo i was defeated you won the war waterloo promise to love you for ever more waterloo couldnt escape if i wanted to waterloo knowing my fate is to be with you wawawawawaterloo finally facing my waterloo so how could i ever refuse i feel like i win when i lose waterloo couldnt escape if i wanted to waterloo knowing my fate is to be with you wawawawawaterloo finally facing my waterloo oohooh waterloo knowing my fate is to be with you wawawawawaterloo finally facing my waterloo oohooh waterloo...
62,Sweet Caroline,Neil Diamond,1969,pop,where it began i cant begin to knowin but then i know its growing strong was in the spring and spring became the summer whod have believed youd come along. hands touchin hands reachin out touchin me touchin you sweet caroline good times never seemed so good ive been inclined to believe they never would but now i look at the night and it dont seem so lonely we fill it up with only two. and when i hurt hurtin runs off my shoulders how can i hurt when im with you warm touchin warm reachin out touchin me touchin you sweet caroline good times never seemed so good ive been inclined to believe they never would oh no no sweet caroline good times never seemed so good sweet caroline i believe they never could sweet caroline...
63,Im Yours,Jason Mraz,2008,pop,well you done done me in you bet i felt it i tried to be chill but youre so hot that i melted i fell right through the cracks now im trying to get back before the cool done run out ill be giving it my bestest and nothings gonna stop me but divine intervention i reckon its again my turn to win some or learn some but i wont hesitate no more no more it cannot wait im yours hmm hey hey well open up your mind and see like me open up your plans and damn youre free look into your heart and youll find love love love love listen to the music of the moment people dance and sing were just one big family and its our godforsaken right to be loved loved loved loved loved so i wont hesitate no more no more it cannot wait im sure theres no need to complicate our time is short this is our fate im yours do do do do you but do you do you do do but do you want to come on scooch on over closer dear and i will nibble your ear asoodabababababum whoaohoh whoaohohohohwhoawhoawhoa uhhuh mmmhmm ive been spending way too long checking my tongue in the mirror and bending over backwards just to try to see it clearer but my breath fogged up the glass and so i drew a new face and i laughed i guess what i be saying is there aint no better reason to rid yourself of vanities and just go with the seasons its what we aim to do our name is our virtue but i wont hesitate no more no more it cannot wait im yours well open up your mind and see like me i wont hesitate open up your plans and damn youre free no more no more and look into your heart and youll find it cannot wait that the sky is yours im sure so please dont please dont please dont no need to complicate theres no need to complicate our time is short cause our time is short this is this oh this this is our fate our fate im yours brabopmm dabapbopmmday dodododo dodododo dododo mmmmmmmm hey hey oh im yours oh im yours oh whoa baby do you believe im yours you best believe you best believe im yours mmmhmm
64,Superstition,Stevie Wonder,1972,funk,very superstitious writings on the wall very superstitious ladders bout to fall thirteen month old baby broke the lookin glass seven years of bad luck the good things in your past when you believe in things that you dont understand then you suffer superstition aint the way hey very superstitious wash your face and hands rid me of the problem do all that you can keep me in a daydream keep me goin strong you dont wanna save me sad is the soul when you believe in things that you dont understand then you suffer superstition aint the way yeh yeh very superstitious nothin more to say very superstitious the devils on his way thirteen month old baby broke the lookin glass seven years of bad luck good things in your past when you believe in things that you dont understand then you suffer superstition aint the way no no no
65,Take On Me,a-ha,1984,funk,were talking away i dont know what im to say ill say it anyway today is another day to find you shyin away oh ill be comin for your love okay take on me take on me take me on take on me ill be gone in a day or two so needless to say im odds and ends but ill be stumblin away slowly learnin that life is okay say after me its no better to be safe than sorry take on me take on me take me on take on me ill be gone in a day or two all the things that you say yeah is it life or just to play my worries away youre all the things ive got to remember youre shyin away ill be comin for you anyway take on me take on me take me on take on me ill be gone in a day take on me take on me take me on take on me ill be gone take on me in a day take me on take on me take on me take on me take me on take on me
66,Faded,Alan Walker,2018,electro,you were the shadow to my light did you feel us another star you fade away afraid our aim is out of sight wanna see us alight where are you now where are you now where are you now was it all in my fantasy where are you now were you only imaginary where are you now atlantis under the sea under the sea where are you now another dream the monsters running wild inside of me im faded im faded so lost im faded im faded so lost im faded these shallow waters never met what i needed im letting go a deeper dive eternal silence of the sea im breathing alive where are you now where are you now under the bright but faded lights youve set my heart on fire where are you now where are you now
67,Lily,Alan Walker,2018,electro,lily was a little girl afraid of the big wide world she grew up within her castle walls now and then she tried to run and then on the night with the setting sun she went in the woods away so afraid all alone they warned her dont go there theres creatures who are hiding in the dark then something came creeping it told her dont you worry just follow everywhere i go top of all the mountains or valley low give you everything youve been dreaming of just let me in ooh everything you want in gold ill be the magic story youve been told and youll be safe under my control just let me in ooh just let me in ooh she knew she was hypnotized and walking on cold thin ice then it broke and she awoke again then she ran faster and start screaming is there someone out there please help me come get me behind her she could hear it say follow everywhere i go top of all the mountains or valley low give you everything youve been dreaming of just let me in ooh everything you want in gold ill be the magic story youve been told and youll be safe under my control just let me in ooh just let me in ooh everything you want in gold ill be the magic story youve been told and youll be safe under my control just let me in ooh follow everywhere i go top of all the mountains or valley low give you everything youve been dreaming of just let me in ooh then she ran faster and start screaming is there someone out there please help me just let me in ooh
